,dataset,metric,graphid,rule,pred,fidelity,infidelity,mags,spars
0,ba2,cosine,10,7,0.7202869057655334,0.7202869057655334,0,3,0.0
0,ba2,cosine,10,8,0.7202869057655334,0.34177735447883606,0.7002552151679993,2,0.44
0,ba2,cosine,10,9,0.7202869057655334,0.7202869057655334,0,3,0.0
0,ba2,cosine,10,10,0.7202869057655334,0.2164405733346939,0.7364557385444641,3,0.12
0,ba2,cosine,10,11,0.7202869057655334,0.7202869057655334,0,3,0.0
0,ba2,cosine,10,12,0.7202869057655334,0.7202869057655334,0,3,0.0
0,ba2,cosine,10,13,0.7202869057655334,0.7202869057655334,0,3,0.0
0,ba2,cosine,10,14,0.7202869057655334,0.7202869057655334,0,3,0.0
0,ba2,cosine,10,15,0.7202869057655334,0.34073570370674133,0.7364557385444641,3,0.12
0,ba2,cosine,10,16,0.7202869057655334,0.7202869057655334,0,3,0.0
0,ba2,cosine,10,17,0.7202869057655334,0.7202869057655334,0,3,0.0
0,ba2,cosine,10,18,0.7202869057655334,0.3633599579334259,0.7364557385444641,3,0.12
0,ba2,cosine,10,19,0.7202869057655334,0.3633599579334259,0.7364557385444641,3,0.12
0,ba2,cosine,10,20,0.7202869057655334,0.17055927217006683,0.7180229425430298,3,0.24
0,ba2,cosine,10,21,0.7202869057655334,0.3633599579334259,0.7364557385444641,3,0.12
0,ba2,cosine,10,22,0.7202869057655334,0.3427676558494568,0.7258201241493225,4,0.2
0,ba2,cosine,10,23,0.7202869057655334,0.7202869057655334,0,3,0.0
0,ba2,cosine,10,24,0.7202869057655334,0.17912885546684265,0.7208060622215271,4,0.16
0,ba2,cosine,11,0,0.281622052192688,0.281622052192688,0,15,0.0
0,ba2,cosine,11,1,0.281622052192688,0.1437452882528305,0.7225333452224731,5,0.68
0,ba2,cosine,11,2,0.281622052192688,0.14374524354934692,0.7286199331283569,3,0.64
0,ba2,cosine,11,3,0.281622052192688,0.281622052192688,0,2,0.0
