39,# 39 9 target:1 c+:212 c-:196 score:48.39910834540461 score+:1172.3569464150405 score-:978.7605130334221 nb:5 =l_1c_16 l_1c_0 l_1c_17 l_1c_1 l_1c_13 
40,# 40 0 target:0 c+:73 c-:1515 score:2968.3997141511245 score+:1196.6244917046176 score-:16632.30300529046 nb:7 =l_2c_8 l_2c_11 l_2c_13 l_2c_5 l_2c_18 l_2c_10 l_2c_15 
41,# 41 1 target:0 c+:158 c-:1738 score:2407.8449853602788 score+:1849.7265850187198 score-:11481.106526459835 nb:5 =l_2c_8 l_2c_19 l_2c_5 l_2c_18 l_2c_10 
42,# 42 2 target:0 c+:177 c-:1375 score:1994.5684427180008 score+:2962.970529715801 score-:14531.467497480204 nb:8 =l_2c_11 l_2c_5 l_2c_18 l_2c_10 l_2c_15 l_2c_7 l_2c_1 l_2c_4 
43,# 43 3 target:0 c+:311 c-:1608 score:1744.8013913587715 score+:4053.8043564916143 score-:12079.890756741963 nb:6 =l_2c_11 l_2c_5 l_2c_10 l_2c_3 l_2c_17 l_2c_1 
44,# 44 4 target:0 c+:128 c-:1572 score:1329.0607969911312 score+:904.7562005738025 score-:4626.12643214897 nb:3 =l_2c_0 l_2c_8 l_2c_13 
45,# 45 5 target:0 c+:275 c-:1928 score:1187.585079183314 score+:3202.177000540529 score-:7952.517317273786 nb:5 =l_2c_8 l_2c_11 l_2c_5 l_2c_18 l_2c_7 
46,# 46 6 target:0 c+:312 c-:1574 score:1486.3650803995579 score+:3424.0915022682016 score-:9369.551823866434 nb:5 =l_2c_19 l_2c_10 l_2c_15 l_2c_1 l_2c_4 
47,# 47 7 target:0 c+:122 c-:673 score:473.7555587806047 score+:1426.307459951423 score-:3321.329695073842 nb:5 =l_2c_8 l_2c_11 l_2c_19 l_2c_16 l_2c_15 
48,# 48 8 target:0 c+:113 c-:670 score:564.4743783907378 score+:1350.9627555101279 score-:3947.5448961075213 nb:6 =l_2c_13 l_2c_19 l_2c_5 l_2c_18 l_2c_16 l_2c_6 
